Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Growth_Rate (%)
Lao Cai,115.0,733.3,103.45,1.74,435.5,Midlands and northern mountains,2019,-1.9585772174696037
Lao Cai,117.0,746.4,103.78,1.78,432.98,Midlands and northern mountains,2020,-0.5786452353616522
Long An,322.7,1449.9,98.7,0.49,841.7,Mekong Delta,2011,
Long An,325.1,1460.3,98.7,0.72,894.2,Mekong Delta,2012,6.237376737554956
Long An,327.2,1469.9,98.7,0.65,898.1,Mekong Delta,2013,0.4361440393647831
Long An,329.0,1477.3,98.7,0.51,890.9,Mekong Delta,2014,-0.8016924618639454
Long An,330.0,1484.7,98.7,0.45,893.4,Mekong Delta,2015,0.280615108317428
Long An,332.0,1490.6,98.7,0.43,899.4,Mekong Delta,2016,0.671591672263272
Long An,333.0,1496.8,99.3,1.04,996.3,Mekong Delta,2017,10.773849232821874
Long An,334.0,1503.1,99.4,1.0,1006.7,Mekong Delta,2018,1.043862290474773
Long An,377.0,1695.1,99.52,0.97,1056.8,Mekong Delta,2019,4.976656402105872
Long An,381.0,1713.7,99.68,1.09,1029.33,Mekong Delta,2020,-2.5993565480696423
Nam Dinh,1110.3,1833.5,95.8,0.19,1082.2,Hong river Delta,2011,
Nam Dinh,1110.4,1835.1,95.8,0.09,1112.1,Hong river Delta,2012,2.7628904084272543
Nam Dinh,1113.2,1839.9,96.0,0.26,1145.4,Hong river Delta,2013,2.9943350418128123
Nam Dinh,1116.0,1845.6,96.1,0.31,1157.8,Hong river Delta,2014,1.0825912345032274
Nam Dinh,1119.0,1850.6,96.2,0.27,1150.5,Hong river Delta,2015,-0.6305061323199079
Nam Dinh,1110.0,1852.6,96.1,0.11,1148.0,Hong river Delta,2016,-0.21729682746631784
Nam Dinh,1111.0,1853.3,95.8,-0.24,1051.9,Hong river Delta,2017,-8.371080139372811
Nam Dinh,1111.0,1854.4,95.9,-0.22,1044.6,Hong river Delta,2018,-0.6939823177108284
Nam Dinh,1067.0,1780.9,96.05,-0.19,1050.1,Hong river Delta,2019,0.5265173272065882
Nam Dinh,1067.0,1780.3,96.05,-0.03,1025.16,Hong river Delta,2020,-2.3750119036282102
Nghe An,179.2,2955.9,98.5,0.75,1757.8,North Central and Central Coast,2011,
Nghe An,180.9,2983.3,98.4,0.92,1826.3,North Central and Central Coast,2012,3.89691660029583
Nghe An,182.6,3011.3,98.0,0.94,1920.4,North Central and Central Coast,2013,5.15249411378198
Nghe An,184.0,3037.4,98.7,0.87,1953.1,North Central and Central Coast,2014,1.7027702561966063
Nghe An,186.0,3063.9,99.3,1.4,1892.0,North Central and Central Coast,2015,-3.128360043008549
Nghe An,188.0,3105.5,100.0,0.83,1878.8,North Central and Central Coast,2016,-0.6976744186046546
Nghe An,190.0,3131.3,99.6,1.36,1911.6,North Central and Central Coast,2017,1.745795188418131
Nghe An,192.0,3157.1,99.8,1.38,1909.6,North Central and Central Coast,2018,-0.10462439840971394
Nghe An,202.0,3337.2,100.11,1.39,1926.1,North Central and Central Coast,2019,0.8640552995391682
Nghe An,204.0,3365.2,100.28,0.84,1926.96,North Central and Central Coast,2020,0.044649810497898734
Ninh Binh,652.9,907.7,99.1,0.66,553.0,Hong river Delta,2011,
Ninh Binh,667.6,919.1,99.3,1.26,553.4,Hong river Delta,2012,0.07233273056057588
Ninh Binh,672.8,927.2,99.1,0.87,584.1,Hong river Delta,2013,5.547524394651249
Ninh Binh,679.0,935.8,96.2,0.93,585.8,Hong river Delta,2014,0.29104605375791515
Ninh Binh,686.0,944.4,99.5,0.92,584.5,Hong river Delta,2015,-0.22191874359849262
Ninh Binh,687.0,953.1,99.6,0.92,585.4,Hong river Delta,2016,0.15397775876817565
Ninh Binh,694.0,961.9,99.1,0.9,576.9,Hong river Delta,2017,-1.4519986334130541
Ninh Binh,702.0,973.3,99.2,0.96,586.2,Hong river Delta,2018,1.6120644825793118
Ninh Binh,710.0,984.5,99.24,1.01,581.5,Hong river Delta,2019,-0.8017741385192845
Ninh Binh,717.0,993.9,99.61,0.95,563.57,Hong river Delta,2020,-3.0834049871023117
Ninh Thuan,170.9,574.1,100.9,0.81,317.2,North Central and Central Coast,2011,
Ninh Thuan,172.5,579.4,101.6,0.91,318.1,North Central and Central Coast,2012,0.28373266078185466
Ninh Thuan,174.2,584.9,101.9,0.94,325.1,North Central and Central Coast,2013,2.2005658597925137
Ninh Thuan,176.0,590.4,101.8,0.94,333.9,North Central and Central Coast,2014,2.7068594278683245
Ninh Thuan,177.0,595.9,101.8,0.93,343.1,North Central and Central Coast,2015,2.7553159628631363
Ninh Thuan,179.0,601.4,101.8,0.92,347.7,North Central and Central Coast,2016,1.340716992130564
Ninh Thuan,181.0,607.0,100.3,0.67,335.9,North Central and Central Coast,2017,-3.39373022720737
Ninh Thuan,182.0,611.8,100.4,0.6,337.5,North Central and Central Coast,2018,0.47633224173861954
Ninh Thuan,176.0,591.0,100.57,0.37,338.1,North Central and Central Coast,2019,0.1777777777777878
Ninh Thuan,177.0,593.6,102.08,0.44,328.29,North Central and Central Coast,2020,-2.9015084294587434
Phu Tho,376.2,1329.3,97.3,0.51,841.3,Midlands and northern mountains,2011,
Phu Tho,379.5,1340.8,97.3,0.86,855.1,Midlands and northern mountains,2012,1.640318554617859
Phu Tho,382.4,1351.2,97.3,0.78,867.0,Midlands and northern mountains,2013,1.3916500994035852
Phu Tho,385.0,1360.2,97.3,0.67,839.6,Midlands and northern mountains,2014,-3.1603229527104926
Phu Tho,388.0,1369.7,97.3,0.76,822.7,Midlands and northern mountains,2015,-2.012863268222964
Phu Tho,391.0,1381.7,97.3,0.81,819.7,Midlands and northern mountains,2016,-0.3646529719217195
Phu Tho,394.0,1392.9,98.5,1.52,841.6,Midlands and northern mountains,2017,2.6717091618885025
Phu Tho,397.0,1404.2,98.6,1.34,848.0,Midlands and northern mountains,2018,0.7604562737642651
Phu Tho,415.0,1466.4,98.95,1.16,850.5,Midlands and northern mountains,2019,0.2948113207547065
Phu Tho,419.0,1481.9,98.57,1.06,847.42,Midlands and northern mountains,2020,-0.36213991769548093
Phu Yen,171.9,870.0,100.2,0.45,513.1,North Central and Central Coast,2011,
Phu Yen,173.1,876.1,100.2,0.7,540.5,North Central and Central Coast,2012,5.340089651140123
Phu Yen,174.3,882.0,100.2,0.67,545.4,North Central and Central Coast,2013,0.9065679925994496
Phu Yen,175.0,887.4,100.1,0.61,538.8,North Central and Central Coast,2014,-1.2101210121012174
Phu Yen,177.0,893.4,100.1,0.68,538.6,North Central and Central Coast,2015,-0.0371195248700662
Phu Yen,179.0,899.4,100.0,0.68,545.7,North Central and Central Coast,2016,1.318232454511703
Phu Yen,180.0,904.4,101.0,0.22,514.4,North Central and Central Coast,2017,-5.735752244823178
Phu Yen,181.0,909.5,101.1,0.17,524.5,North Central and Central Coast,2018,1.9634525660964242
Phu Yen,174.0,873.2,101.22,0.19,521.1,North Central and Central Coast,2019,-0.6482364156339293
Phu Yen,174.0,874.3,101.18,0.13,510.68,North Central and Central Coast,2020,-1.9996161965073922
Quang Binh,105.8,853.4,100.1,0.56,484.4,North Central and Central Coast,2011,
Quang Binh,106.4,858.3,100.1,0.57,513.8,North Central and Central Coast,2012,6.069364161849711
Quang Binh,107.1,863.4,100.2,0.59,516.5,North Central and Central Coast,2013,0.5254963020630665
Quang Binh,108.0,868.2,100.2,0.56,528.9,North Central and Central Coast,2014,2.400774443368814
Quang Binh,108.0,872.9,100.2,0.55,520.4,North Central and Central Coast,2015,-1.6071090943467592
Quang Binh,110.0,877.7,100.2,0.55,531.1,North Central and Central Coast,2016,2.056110684089174
Quang Binh,110.0,882.5,100.2,0.58,527.5,North Central and Central Coast,2017,-0.6778384485031097
Quang Binh,111.0,887.6,100.6,0.61,527.7,North Central and Central Coast,2018,0.037914691943141676
Quang Binh,112.0,896.6,100.72,0.61,516.1,North Central and Central Coast,2019,-2.1982186848588214
Quang Binh,113.0,902.0,100.83,0.6,505.26,North Central and Central Coast,2020,-2.100368145708198
Quang Nam,138.2,1442.7,95.6,0.66,811.6,North Central and Central Coast,2011,
Quang Nam,139.2,1452.9,95.7,0.71,838.7,North Central and Central Coast,2012,3.3390832922622016
Quang Nam,140.2,1463.2,95.7,0.71,858.2,North Central and Central Coast,2013,2.3250268272326124
Quang Nam,141.0,1471.8,95.7,0.59,890.3,North Central and Central Coast,2014,3.7403868562106535
Quang Nam,142.0,1480.3,95.7,0.54,890.2,North Central and Central Coast,2015,-0.01123216893180734
Quang Nam,141.0,1487.7,95.7,0.47,902.0,North Central and Central Coast,2016,1.3255448213884469
Quang Nam,141.0,1493.8,96.5,0.51,879.4,North Central and Central Coast,2017,-2.5055432372505515
Quang Nam,142.0,1501.1,96.7,0.5,883.4,North Central and Central Coast,2018,0.45485558335227605
Quang Nam,142.0,1497.5,96.8,0.45,896.2,North Central and Central Coast,2019,1.4489472492642097
Quang Nam,142.0,1505.0,96.82,0.51,891.18,North Central and Central Coast,2020,-0.5601428252622331
Quang Ngai,237.8,1225.2,97.3,0.35,711.0,North Central and Central Coast,2011,
Quang Ngai,238.7,1229.8,97.3,0.37,725.7,North Central and Central Coast,2012,2.0675105485232104
Quang Ngai,240.0,1236.3,97.4,0.52,726.2,North Central and Central Coast,2013,0.06889899407469535
Quang Ngai,241.0,1241.4,97.1,0.42,753.8,North Central and Central Coast,2014,3.8006058936931764
Quang Ngai,242.0,1246.4,96.8,0.41,760.9,North Central and Central Coast,2015,0.9418944016980735
Quang Ngai,243.0,1251.5,97.6,0.63,767.4,North Central and Central Coast,2016,0.8542515442239385
Quang Ngai,245.0,1261.6,97.7,0.12,746.9,North Central and Central Coast,2017,-2.6713578316392983
Quang Ngai,247.0,1272.8,97.7,0.13,746.7,North Central and Central Coast,2018,-0.02677734636497009
Quang Ngai,239.0,1231.9,97.75,0.11,739.2,North Central and Central Coast,2019,-1.0044194455604671
Quang Ngai,239.0,1233.4,97.76,0.12,731.69,North Central and Central Coast,2020,-1.0159632034631993
Quang Ninh,191.4,1168.0,105.4,0.93,675.0,Hong river Delta,2011,
Quang Ninh,193.0,1177.7,103.4,0.83,691.9,Hong river Delta,2012,2.503703703703697
Quang Ninh,194.6,1187.5,106.0,0.82,711.4,Hong river Delta,2013,2.8183263477381093
Quang Ninh,197.0,1199.4,100.5,1.01,697.2,Hong river Delta,2014,-1.9960640989597933
Quang Ninh,199.0,1211.3,100.5,0.99,692.4,Hong river Delta,2015,-0.6884681583476882
Quang Ninh,198.0,1224.6,100.5,1.3,691.9,Hong river Delta,2016,-0.07221259387637513
Quang Ninh,201.0,1243.6,103.6,1.9,728.1,Hong river Delta,2017,5.231969937852288
Quang Ninh,205.0,1266.5,103.6,1.46,734.7,Hong river Delta,2018,0.9064688916357699
Quang Ninh,214.0,1324.8,103.48,1.61,734.5,Hong river Delta,2019,-0.027221995372261887
Quang Ninh,217.0,1337.6,103.46,0.96,693.57,Hong river Delta,2020,-5.57249829816201
Quang Tri,127.6,604.7,97.9,0.51,334.0,North Central and Central Coast,2011,
Quang Tri,128.3,608.2,98.1,0.57,332.4,North Central and Central Coast,2012,-0.4790419161676662
Quang Tri,129.3,613.0,97.3,0.8,346.2,North Central and Central Coast,2013,4.151624548736477
Quang Tri,130.0,616.4,97.1,0.55,348.6,North Central and Central Coast,2014,0.6932409012131879
Quang Tri,131.0,619.9,97.2,0.58,349.7,North Central and Central Coast,2015,0.31554790590935244
Quang Tri,135.0,623.5,96.4,0.59,348.9,North Central and Central Coast,2016,-0.22876751501287318
Quang Tri,136.0,627.3,98.2,0.61,345.8,North Central and Central Coast,2017,-0.8885067354542753
Quang Tri,136.0,630.6,98.2,0.7,346.4,North Central and Central Coast,2018,0.1735106998264735
Quang Tri,137.0,633.4,98.33,0.59,350.6,North Central and Central Coast,2019,1.2124711316397363
Quang Tri,138.0,637.3,98.33,0.6,348.11,North Central and Central Coast,2020,-0.7102110667427275
Soc Trang,392.1,1298.4,98.8,0.21,744.1,Mekong Delta,2011,
Soc Trang,393.0,1301.5,98.7,0.24,749.4,Mekong Delta,2012,0.712269856202119
Soc Trang,394.0,1304.7,98.3,0.24,729.3,Mekong Delta,2013,-2.6821457165732587
Soc Trang,395.0,1307.7,100.3,0.24,699.6,Mekong Delta,2014,-4.072398190045234
Soc Trang,396.0,1310.7,98.4,0.23,704.1,Mekong Delta,2015,0.6432246998284707
Soc Trang,396.0,1312.5,98.4,0.14,712.1,Mekong Delta,2016,1.1362022439994401
Soc Trang,397.0,1314.3,99.3,-0.75,674.4,Mekong Delta,2017,-5.2942002527734955
Soc Trang,397.0,1315.9,99.3,-0.78,670.1,Mekong Delta,2018,-0.6376037959667791
Soc Trang,362.0,1199.5,99.38,-0.77,657.9,Mekong Delta,2019,-1.8206237874944131
Soc Trang,361.0,1195.7,99.34,-0.32,641.91,Mekong Delta,2020,-2.43046055631555
Son La,78.9,1118.6,101.0,1.79,684.0,Midlands and northern mountains,2011,
Son La,80.0,1134.4,101.0,1.41,710.9,Midlands and northern mountains,2012,3.9327485380116878
Son La,81.2,1150.5,101.2,1.42,721.8,Midlands and northern mountains,2013,1.533267688845119
Son La,82.0,1166.4,101.5,1.38,734.7,Midlands and northern mountains,2014,1.7871986699917075
Son La,83.0,1182.4,101.2,1.8,753.1,Midlands and northern mountains,2015,2.5044235742479826
Son La,86.0,1208.0,101.0,1.76,750.8,Midlands and northern mountains,2016,-0.3054043287744057
Son La,87.0,1228.9,102.4,1.55,748.2,Midlands and northern mountains,2017,-0.3462972828982336
Son La,88.0,1242.7,102.6,1.62,758.6,Midlands and northern mountains,2018,1.3900026730820692
Son La,89.0,1252.7,102.8,1.59,771.0,Midlands and northern mountains,2019,1.6345900342736641
Son La,90.0,1270.6,102.94,1.43,770.54,Midlands and northern mountains,2020,-0.05966277561608724
Tay Ninh,267.8,1082.0,98.2,0.72,644.5,South East,2011,
Tay Ninh,269.7,1089.7,97.7,0.71,649.2,South East,2012,0.7292474786656289
Tay Ninh,272.0,1096.9,96.9,0.66,647.9,South East,2013,-0.2002464571780771
Tay Ninh,274.0,1104.2,97.9,0.67,636.7,South East,2014,-1.7286618305293877
Tay Ninh,276.0,1111.5,99.0,0.66,643.9,South East,2015,1.1308308465525219
Tay Ninh,277.0,1118.8,100.1,0.66,651.4,South East,2016,1.164777139307338
Tay Ninh,279.0,1126.2,99.7,1.0,692.2,South East,2017,6.263432606693287
Tay Ninh,280.0,1133.4,99.8,0.83,676.9,South East,2018,-2.210343831262651
Tay Ninh,290.0,1171.7,99.88,0.95,707.0,South East,2019,4.446742502585321
Tay Ninh,292.0,1178.3,100.11,0.57,692.83,South East,2020,-2.0042432814709965
Thai Binh,1137.5,1785.9,94.6,0.07,1134.2,Hong river Delta,2011,
Thai Binh,1138.5,1787.4,93.8,0.08,1113.1,Hong river Delta,2012,-1.8603420913419266
Thai Binh,1138.6,1788.1,93.7,0.04,1103.6,Hong river Delta,2013,-0.8534722846105458
Thai Binh,1139.0,1788.7,93.7,0.03,1115.3,Hong river Delta,2014,1.0601667270750292
Thai Binh,1139.0,1789.2,93.6,0.02,1110.8,Hong river Delta,2015,-0.4034788846050352
Thai Binh,1128.0,1790.0,93.6,0.04,1104.7,Hong river Delta,2016,-0.5491537630536447
Thai Binh,1129.0,1791.5,94.5,0.43,1120.1,Hong river Delta,2017,1.3940436317552152
Thai Binh,1130.0,1793.2,94.7,0.43,1121.3,Hong river Delta,2018,0.10713329167038044
Thai Binh,1174.0,1862.2,94.84,0.43,1133.1,Hong river Delta,2019,1.0523499509497825
Thai Binh,1179.0,1870.3,95.05,0.43,1084.33,Hong river Delta,2020,-4.304121436766395
Thai Nguyen,322.6,1139.4,97.2,0.72,687.7,Midlands and northern mountains,2011,
Thai Nguyen,325.1,1149.1,97.2,0.85,716.5,Midlands and northern mountains,2012,4.1878726188745
Thai Nguyen,326.9,1156.0,97.2,0.6,716.3,Midlands and northern mountains,2013,-0.027913468248441653
Thai Nguyen,332.0,1173.2,97.2,1.49,715.9,Midlands and northern mountains,2014,-0.05584252408208368
Thai Nguyen,337.0,1190.6,96.6,3.59,725.5,Midlands and northern mountains,2015,1.3409694091353508
Thai Nguyen,348.0,1227.4,96.6,2.34,729.9,Midlands and northern mountains,2016,0.6064782908339117
Thai Nguyen,356.0,1255.1,96.1,1.07,763.2,Midlands and northern mountains,2017,4.562268803945746
Thai Nguyen,360.0,1268.3,95.9,1.39,767.2,Midlands and northern mountains,2018,0.524109014675056
Thai Nguyen,366.0,1290.9,95.64,1.37,777.2,Midlands and northern mountains,2019,1.3034410844629862
Thai Nguyen,371.0,1307.9,95.51,1.31,769.91,Midlands and northern mountains,2020,-0.9379825012866827
Thanh Hoa,308.8,3437.7,97.7,0.47,2225.1,North Central and Central Coast,2011,
Thanh Hoa,310.6,3457.9,97.6,0.59,2138.1,North Central and Central Coast,2012,-3.9099366320614837
Thanh Hoa,312.4,3477.7,97.2,0.57,2224.2,North Central and Central Coast,2013,4.0269398063701445
Thanh Hoa,314.0,3496.1,97.9,0.53,2231.8,North Central and Central Coast,2014,0.3416958906573342
Thanh Hoa,316.0,3514.2,98.6,0.46,2238.3,North Central and Central Coast,2015,0.29124473519133165
Thanh Hoa,317.0,3528.3,99.3,0.46,2241.2,North Central and Central Coast,2016,0.12956261448417994
Thanh Hoa,319.0,3544.4,99.2,0.92,2253.4,North Central and Central Coast,2017,0.5443512404069262
Thanh Hoa,320.0,3558.2,99.4,0.77,2261.2,North Central and Central Coast,2018,0.34614360521876275
Thanh Hoa,328.0,3645.8,99.6,0.4,2295.0,North Central and Central Coast,2019,1.4947815319299673
Thanh Hoa,330.0,3664.9,98.81,0.53,2225.48,North Central and Central Coast,2020,-3.0291938997821344
Thua Thien Hue,219.2,1103.1,98.0,1.12,596.8,North Central and Central Coast,2011,
Thua Thien Hue,221.3,1113.9,97.8,0.98,614.8,North Central and Central Coast,2012,3.016085790884726
Thua Thien Hue,223.1,1122.7,97.6,0.79,636.6,North Central and Central Coast,2013,3.5458685751464047
Thua Thien Hue,225.0,1131.8,98.1,0.8,662.6,North Central and Central Coast,2014,4.084197298146397
Thua Thien Hue,227.0,1140.7,98.4,0.88,636.2,North Central and Central Coast,2015,-3.9843042559613573
Thua Thien Hue,235.0,1149.8,98.8,0.72,631.7,North Central and Central Coast,2016,-0.7073247406475969
Thua Thien Hue,235.0,1154.3,97.9,0.48,615.9,North Central and Central Coast,2017,-2.5011872724394646
Thua Thien Hue,237.0,1163.6,97.9,0.19,615.0,North Central and Central Coast,2018,-0.1461276181198179
Thua Thien Hue,230.0,1129.5,97.96,0.36,621.0,North Central and Central Coast,2019,0.9756097560975618
Thua Thien Hue,231.0,1133.7,98.06,0.37,583.7,North Central and Central Coast,2020,-6.006441223832526
Tien Giang,670.8,1682.6,97.2,0.27,987.7,Mekong Delta,2011,
Tien Giang,674.8,1692.5,96.2,0.59,1029.4,Mekong Delta,2012,4.22192973574973
Tien Giang,679.0,1703.4,96.3,0.65,1072.3,Mekong Delta,2013,4.167476199727993
Tien Giang,684.0,1716.1,96.3,0.75,1050.8,Mekong Delta,2014,-2.0050359041313026
Tien Giang,689.0,1728.7,96.3,0.7,1080.9,Mekong Delta,2015,2.864484202512374
Tien Giang,693.0,1740.2,96.3,0.7,1101.8,Mekong Delta,2016,1.9335738736238284
Tien Giang,698.0,1751.8,96.3,0.67,1102.3,Mekong Delta,2017,0.04538028680340922
Tien Giang,702.0,1762.3,96.3,0.41,1125.8,Mekong Delta,2018,2.1319060146965496
Tien Giang,704.0,1766.3,96.38,0.41,1123.5,Mekong Delta,2019,-0.2042991650381909
Tien Giang,706.0,1772.5,96.15,0.35,1112.13,Mekong Delta,2020,-1.0120160213618057
Tra Vinh,432.7,1013.1,97.1,0.5,616.6,Mekong Delta,2011,
Tra Vinh,435.0,1018.4,97.0,0.52,604.4,Mekong Delta,2012,-1.9785922802465161
Tra Vinh,437.3,1023.9,96.6,0.54,607.9,Mekong Delta,2013,0.5790866975512898
Tra Vinh,440.0,1029.3,96.3,0.53,609.7,Mekong Delta,2014,0.29610133245601133
Tra Vinh,442.0,1034.6,95.9,0.52,611.1,Mekong Delta,2015,0.22962112514350874
Tra Vinh,441.0,1040.5,95.6,0.57,615.5,Mekong Delta,2016,0.7200130911471092
Tra Vinh,443.0,1045.6,97.0,0.05,593.2,Mekong Delta,2017,-3.623070674248574
Tra Vinh,445.0,1049.8,97.0,0.07,588.1,Mekong Delta,2018,-0.8597437626432947
Tra Vinh,428.0,1009.3,96.98,0.05,578.7,Mekong Delta,2019,-1.5983676245536427
Tra Vinh,428.0,1009.9,96.85,0.06,561.34,Mekong Delta,2020,-2.9998271988940783
Tuyen Quang,125.3,734.9,100.5,0.76,450.3,Midlands and northern mountains,2011,
Tuyen Quang,126.3,740.8,100.1,0.8,467.0,Midlands and northern mountains,2012,3.7086386853208975
Tuyen Quang,127.3,747.2,99.7,0.87,479.1,Midlands and northern mountains,2013,2.5910064239828667
Tuyen Quang,128.0,753.8,98.7,0.88,485.1,Midlands and northern mountains,2014,1.2523481527864755
Tuyen Quang,130.0,760.3,97.8,0.87,485.5,Midlands and northern mountains,2015,0.08245722531436961
Tuyen Quang,131.0,766.9,96.8,0.86,482.9,Midlands and northern mountains,2016,-0.5355303810504641
Tuyen Quang,132.0,773.5,101.2,0.93,472.3,Midlands and northern mountains,2017,-2.195071443363006
Tuyen Quang,133.0,780.1,101.3,1.02,480.6,Midlands and northern mountains,2018,1.7573576116874934
Tuyen Quang,134.0,786.3,101.43,1.02,489.8,Midlands and northern mountains,2019,1.9142738243861812
Tuyen Quang,135.0,792.9,101.41,0.84,480.5,Midlands and northern mountains,2020,-1.898734177215189
Vinh Long,687.5,1029.1,97.1,0.25,622.8,Mekong Delta,2011,
Vinh Long,687.4,1034.5,97.2,0.53,619.1,Mekong Delta,2012,-0.5940912010276023
Vinh Long,682.7,1037.8,96.8,0.32,625.2,Mekong Delta,2013,0.9853012437409214
Vinh Long,685.0,1041.5,97.0,0.36,627.6,Mekong Delta,2014,0.38387715930900956
Vinh Long,687.0,1045.0,97.1,0.34,627.6,Mekong Delta,2015,0.0
Vinh Long,687.0,1048.6,97.2,0.34,630.4,Mekong Delta,2016,0.44614404079030834
Vinh Long,688.0,1050.2,97.1,-0.02,610.5,Mekong Delta,2017,-3.156725888324874
Vinh Long,689.0,1051.8,97.1,0.01,607.9,Mekong Delta,2018,-0.4258804258804316
Vinh Long,670.0,1022.6,97.1,-0.01,622.4,Mekong Delta,2019,2.385260733673311
Vinh Long,670.0,1023.0,97.09,0.03,603.6,Mekong Delta,2020,-3.020565552699217
Vinh Phuc,818.0,1011.4,97.6,0.38,608.3,Hong river Delta,2011,
Vinh Phuc,826.8,1022.4,97.6,1.09,607.2,Hong river Delta,2012,-0.18083182640142859
Vinh Phuc,831.1,1029.4,97.6,0.68,613.2,Hong river Delta,2013,0.9881422924901129
Vinh Phuc,842.0,1041.9,96.8,1.22,631.2,Hong river Delta,2014,2.935420743639927
Vinh Phuc,852.0,1054.5,96.8,1.21,631.4,Hong river Delta,2015,0.03168567807350087
Vinh Phuc,863.0,1066.0,96.8,1.09,629.8,Hong river Delta,2016,-0.25340513145392096
Vinh Phuc,874.0,1079.5,97.8,1.54,625.3,Hong river Delta,2017,-0.7145125436646582
Vinh Phuc,884.0,1092.4,98.1,1.36,630.5,Hong river Delta,2018,0.8316008316008316
Vinh Phuc,934.0,1154.8,99.32,1.45,647.4,Hong river Delta,2019,2.680412371134011
Vinh Phuc,948.0,1171.2,99.35,1.42,634.47,Hong river Delta,2020,-1.997219647822046
Yen Bai,110.2,758.6,99.7,0.98,478.5,Midlands and northern mountains,2011,
Yen Bai,111.2,765.7,99.3,0.93,479.6,Midlands and northern mountains,2012,0.22988505747127963
Yen Bai,112.5,774.6,99.4,1.16,495.9,Midlands and northern mountains,2013,3.3986655546288436
Yen Bai,114.0,783.5,99.5,1.16,503.5,Midlands and northern mountains,2014,1.532567049808442
Yen Bai,115.0,792.7,99.8,1.22,512.5,Midlands and northern mountains,2015,1.7874875868917561
Yen Bai,116.0,800.1,99.9,0.91,519.4,Midlands and northern mountains,2016,1.3463414634146353
Yen Bai,117.0,807.3,101.0,0.87,511.3,Midlands and northern mountains,2017,-1.559491721216777
Yen Bai,118.0,815.6,101.1,0.9,519.6,Midlands and northern mountains,2018,1.6233131234109077
Yen Bai,119.0,823.0,101.25,1.04,520.4,Midlands and northern mountains,2019,0.15396458814471714
Yen Bai,121.0,831.6,101.35,1.04,521.21,Midlands and northern mountains,2020,0.15564950038433611
