Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Da Nang,800.0,1028.8,96.6,1.9,547.0,North Central and Central Coast,2015,53.1687402799378
Quang Nam,142.0,1480.3,95.7,0.54,890.2,North Central and Central Coast,2015,60.13645882591368
Quang Ngai,242.0,1246.4,96.8,0.41,760.9,North Central and Central Coast,2015,61.04781771501925
Binh Dinh,251.0,1519.7,95.5,0.38,912.9,North Central and Central Coast,2015,60.071066657893
Phu Yen,177.0,893.4,100.1,0.68,538.6,North Central and Central Coast,2015,60.28654578016567
Khanh Hoa,231.0,1205.3,97.2,0.7,690.5,North Central and Central Coast,2015,57.28864183190907
Ninh Thuan,177.0,595.9,101.8,0.93,343.1,North Central and Central Coast,2015,57.57677462661521
Binh Thuan,156.0,1215.2,100.2,0.63,710.0,North Central and Central Coast,2015,58.426596445029624
Kon Tum,51.0,495.9,114.0,2.41,293.2,Highlands,2015,59.124823553135705
Gia Lai,90.0,1397.4,93.6,1.42,842.4,Highlands,2015,60.28338342636324
Dak Lak,141.0,1853.7,101.3,1.12,1128.1,Highlands,2015,60.85666504828181
Dak Nong,90.0,587.8,102.3,2.9,374.0,Highlands,2015,63.62708404219123
Lam Dong,130.0,1273.1,101.0,1.1,778.1,Highlands,2015,61.118529573482064
Binh Phuoc,137.0,944.4,96.5,1.27,573.0,South East,2015,60.673443456162644
Tay Ninh,276.0,1111.5,99.0,0.66,643.9,South East,2015,57.93072424651372
Binh Duong,723.0,1947.2,93.3,3.04,1270.8,South East,2015,65.26294165981923
Dong Nai,492.0,2905.8,94.5,2.08,1630.3,South East,2015,56.10503131667699
Ba Ria - Vung Tau,539.0,1072.6,99.9,1.84,570.0,South East,2015,53.141898191310844
Ho Chi Minh,3888.0,8146.3,91.8,1.83,4251.4,South East,2015,52.18810993948172
Long An,330.0,1484.7,98.7,0.45,893.4,Mekong Delta,2015,60.17377247928874
Tien Giang,689.0,1728.7,96.3,0.7,1080.9,Mekong Delta,2015,62.526754208364665
Ben Tre,536.0,1263.7,96.4,0.12,809.4,Mekong Delta,2015,64.05001186990583
Tra Vinh,442.0,1034.6,95.9,0.52,611.1,Mekong Delta,2015,59.06630581867389
Vinh Long,687.0,1045.0,97.1,0.34,627.6,Mekong Delta,2015,60.057416267942585
Dong Thap,498.0,1684.3,99.2,0.17,1017.5,Mekong Delta,2015,60.41085317342516
An Giang,610.0,2158.3,98.1,0.12,1218.9,Mekong Delta,2015,56.47500347495714
Kien Giang,277.0,1761.0,100.4,0.89,1005.1,Mekong Delta,2015,57.075525269733106
Can Tho,886.0,1248.0,99.1,0.79,693.1,Mekong Delta,2015,55.53685897435897
Hau Giang,481.0,770.4,97.7,0.27,462.9,Mekong Delta,2015,60.08566978193146
Soc Trang,396.0,1310.7,98.4,0.23,704.1,Mekong Delta,2015,53.719386587319754
Bac Lieu,357.0,882.0,101.3,0.47,506.5,Mekong Delta,2015,57.426303854875286
Ca Mau,230.0,1218.9,100.6,0.21,704.1,Mekong Delta,2015,57.765198129460984
Ha Noi,2182.0,7328.4,96.2,1.5,3822.5,Hong river Delta,2016,52.160089514764486
Vinh Phuc,863.0,1066.0,96.8,1.09,629.8,Hong river Delta,2016,59.08067542213883
Bac Ninh,1432.0,1178.6,96.8,2.07,666.9,Hong river Delta,2016,56.5840828101137
Quang Ninh,198.0,1224.6,100.5,1.3,691.9,Hong river Delta,2016,56.500081659317324
Hai Duong,1070.0,1785.8,96.0,0.64,1035.2,Hong river Delta,2016,57.96841751595924
Hai Phong,1268.0,1980.8,98.9,0.89,1131.6,Hong river Delta,2016,57.12843295638126
Hung Yen,1258.0,1170.2,96.6,0.52,704.4,Hong river Delta,2016,60.19483848914715
Thai Binh,1128.0,1790.0,93.6,0.04,1104.7,Hong river Delta,2016,61.71508379888269
Ha Nam,932.0,803.7,97.8,0.13,473.4,Hong river Delta,2016,58.90257558790593
Nam Dinh,1110.0,1852.6,96.1,0.11,1148.0,Hong river Delta,2016,61.966965346000215
Ninh Binh,687.0,953.1,99.6,0.92,585.4,Hong river Delta,2016,61.42062742629314
Ha Giang,103.0,816.1,101.4,2.32,524.8,Midlands and northern mountains,2016,64.30584487195196
Cao Bang,79.0,529.8,98.2,1.05,360.9,Midlands and northern mountains,2016,68.12004530011325
Bac Kan,66.0,319.0,96.9,1.88,228.8,Midlands and northern mountains,2016,71.72413793103448
Tuyen Quang,131.0,766.9,96.8,0.86,482.9,Midlands and northern mountains,2016,62.96779241100534
Lao Cai,108.0,684.3,102.1,1.45,432.8,Midlands and northern mountains,2016,63.24711383895952
Yen Bai,116.0,800.1,99.9,0.91,519.4,Midlands and northern mountains,2016,64.91688538932632
Thai Nguyen,348.0,1227.4,96.6,2.34,729.9,Midlands and northern mountains,2016,59.46716636793221
Lang Son,92.0,768.7,100.5,1.06,507.9,Midlands and northern mountains,2016,66.07259008716014
Bac Giang,426.0,1657.6,98.7,1.02,1034.5,Midlands and northern mountains,2016,62.40950772200773
Phu Tho,391.0,1381.7,97.3,0.81,819.7,Midlands and northern mountains,2016,59.325468625606135
Dien Bien,58.0,557.4,100.0,1.75,348.4,Midlands and northern mountains,2016,62.50448510943667
Lai Chau,48.0,436.0,97.5,2.48,268.8,Midlands and northern mountains,2016,61.65137614678899
Son La,86.0,1208.0,101.0,1.76,750.8,Midlands and northern mountains,2016,62.1523178807947
Hoa Binh,181.0,831.3,99.7,0.86,553.2,Midlands and northern mountains,2016,66.5463731504872
Thanh Hoa,317.0,3528.3,99.3,0.46,2241.2,North Central and Central Coast,2016,63.5206756795057
Nghe An,188.0,3105.5,100.0,0.83,1878.8,North Central and Central Coast,2016,60.49911447431975
Ha Tinh,211.0,1266.7,96.6,0.43,718.4,North Central and Central Coast,2016,56.71429699218441
Quang Binh,110.0,877.7,100.2,0.55,531.1,North Central and Central Coast,2016,60.51042497436482
Quang Tri,135.0,623.5,96.4,0.59,348.9,North Central and Central Coast,2016,55.95829991980753
Thua Thien Hue,235.0,1149.8,98.8,0.72,631.7,North Central and Central Coast,2016,54.939989563402335
Da Nang,814.0,1046.2,97.1,1.8,556.1,North Central and Central Coast,2016,53.15427260562034
Quang Nam,141.0,1487.7,95.7,0.47,902.0,North Central and Central Coast,2016,60.63050346171943
Quang Ngai,243.0,1251.5,97.6,0.63,767.4,North Central and Central Coast,2016,61.31841789852177
Binh Dinh,251.0,1524.6,95.5,0.29,931.4,North Central and Central Coast,2016,61.091433818706555
Phu Yen,179.0,899.4,100.0,0.68,545.7,North Central and Central Coast,2016,60.67378252168113
Khanh Hoa,236.0,1213.8,96.9,0.7,689.6,North Central and Central Coast,2016,56.813313560718406
Ninh Thuan,179.0,601.4,101.8,0.92,347.7,North Central and Central Coast,2016,57.815098104423015
Binh Thuan,154.0,1222.7,100.2,0.63,716.3,North Central and Central Coast,2016,58.583462828167164
Kon Tum,52.0,507.8,114.1,2.4,300.9,Highlands,2016,59.25561244584482
Gia Lai,91.0,1417.3,98.3,1.42,856.6,Highlands,2016,60.43886262612009
Dak Lak,144.0,1874.5,101.3,1.12,1149.4,Highlands,2016,61.317684715924244
Dak Nong,93.0,605.4,106.9,3.51,381.3,Highlands,2016,62.98315163528246
Lam Dong,132.0,1288.2,101.6,1.01,793.8,Highlands,2016,61.62086632510479
Binh Phuoc,139.0,956.4,96.5,1.28,581.1,South East,2016,60.75909661229611
Tay Ninh,277.0,1118.8,100.1,0.66,651.4,South East,2016,58.22309617447266
Binh Duong,741.0,1995.8,93.4,3.39,1280.1,South East,2016,64.1396933560477
Dong Nai,505.0,2963.8,94.1,2.21,1634.7,South East,2016,55.1555435589446
Ba Ria - Vung Tau,551.0,1092.0,100.2,1.04,598.0,South East,2016,54.761904761904766
Ho Chi Minh,4025.0,8297.5,91.9,1.96,4335.7,South East,2016,52.25308827960229
Long An,332.0,1490.6,98.7,0.43,899.4,Mekong Delta,2016,60.33811887830404
Tien Giang,693.0,1740.2,96.3,0.7,1101.8,Mekong Delta,2016,63.31456154465004
Ben Tre,528.0,1265.2,96.6,0.12,807.3,Mekong Delta,2016,63.80809358204236
Tra Vinh,441.0,1040.5,95.6,0.57,615.5,Mekong Delta,2016,59.15425276309466
Vinh Long,687.0,1048.6,97.2,0.34,630.4,Mekong Delta,2016,60.11825290864009
Dong Thap,499.0,1687.3,99.2,0.18,1112.1,Mekong Delta,2016,65.91003378178154
An Giang,611.0,2159.9,98.1,0.07,1228.3,Mekong Delta,2016,56.868373535811834
Kien Giang,280.0,1776.7,100.4,0.89,1006.2,Mekong Delta,2016,56.63308380705803
Can Tho,874.0,1257.9,99.3,1.17,712.9,Mekong Delta,2016,56.673821448445814
Hau Giang,476.0,772.5,95.9,0.26,471.7,Mekong Delta,2016,61.06148867313915
Soc Trang,396.0,1312.5,98.4,0.14,712.1,Mekong Delta,2016,54.2552380952381
Bac Lieu,332.0,886.2,101.3,0.47,513.0,Mekong Delta,2016,57.88761002031144
Ca Mau,234.0,1222.6,100.4,0.3,708.6,Mekong Delta,2016,57.958449206608876
Ha Noi,2209.0,7420.1,98.0,1.99,4024.2,Hong river Delta,2017,54.233770434360714
Vinh Phuc,874.0,1079.5,97.8,1.54,625.3,Hong river Delta,2017,57.92496526169523
Bac Ninh,1477.0,1215.2,97.4,3.17,735.6,Hong river Delta,2017,60.53324555628703
Quang Ninh,201.0,1243.6,103.6,1.9,728.1,Hong river Delta,2017,58.54776455451914
Hai Duong,1077.0,1797.3,98.2,0.97,1071.7,Hong river Delta,2017,59.62833138596785
Hai Phong,1279.0,1997.7,98.7,0.81,1136.0,Hong river Delta,2017,56.86539520448516
Hung Yen,1265.0,1176.3,99.6,1.1,716.1,Hong river Delta,2017,60.877327212445806
Thai Binh,1129.0,1791.5,94.5,0.43,1120.1,Hong river Delta,2017,62.52302539771141
Ha Nam,935.0,805.7,96.7,0.91,487.4,Hong river Delta,2017,60.49398038972321
Nam Dinh,1111.0,1853.3,95.8,-0.24,1051.9,Hong river Delta,2017,56.758215075810725
Ninh Binh,694.0,961.9,99.1,0.9,576.9,Hong river Delta,2017,59.97504938143258
Ha Giang,105.0,833.5,101.6,1.62,514.8,Midlands and northern mountains,2017,61.76364727054589
Cao Bang,80.0,535.4,100.0,0.42,347.8,Midlands and northern mountains,2017,64.96077698916697
Bac Kan,67.0,323.2,103.6,0.72,208.7,Midlands and northern mountains,2017,64.5730198019802
Tuyen Quang,132.0,773.5,101.2,0.93,472.3,Midlands and northern mountains,2017,61.060116354234005
Lao Cai,109.0,694.4,103.0,1.74,433.6,Midlands and northern mountains,2017,62.44239631336406
Yen Bai,117.0,807.3,101.0,0.87,511.3,Midlands and northern mountains,2017,63.33457203022421
Thai Nguyen,356.0,1255.1,96.1,1.07,763.2,Midlands and northern mountains,2017,60.80790375268904
Lang Son,94.0,778.4,103.5,0.69,491.6,Midlands and northern mountains,2017,63.155190133607405
Bac Giang,430.0,1674.4,100.3,2.35,1063.7,Midlands and northern mountains,2017,63.52723363592929
Phu Tho,394.0,1392.9,98.5,1.52,841.6,Midlands and northern mountains,2017,60.42070500394859
Dien Bien,59.0,567.0,102.2,1.96,333.7,Midlands and northern mountains,2017,58.85361552028219
Lai Chau,49.0,446.1,103.8,1.88,267.8,Midlands and northern mountains,2017,60.0313830979601
Son La,87.0,1228.9,102.4,1.55,748.2,Midlands and northern mountains,2017,60.88371714541459
Hoa Binh,183.0,838.8,99.7,0.95,543.3,Midlands and northern mountains,2017,64.77110157367669
Thanh Hoa,319.0,3544.4,99.2,0.92,2253.4,North Central and Central Coast,2017,63.57634578490013
Nghe An,190.0,3131.3,99.6,1.36,1911.6,North Central and Central Coast,2017,61.04812697601635
Ha Tinh,212.0,1272.2,98.7,0.59,705.0,North Central and Central Coast,2017,55.415815123408265
Quang Binh,110.0,882.5,100.2,0.58,527.5,North Central and Central Coast,2017,59.773371104815865
Quang Tri,136.0,627.3,98.2,0.61,345.8,North Central and Central Coast,2017,55.12513948668899
Thua Thien Hue,235.0,1154.3,97.9,0.48,615.9,North Central and Central Coast,2017,53.35701290825609
Da Nang,828.0,1064.1,97.2,1.62,594.8,North Central and Central Coast,2017,55.89700216145099
Quang Nam,141.0,1493.8,96.5,0.51,879.4,North Central and Central Coast,2017,58.86999598339805
Quang Ngai,245.0,1261.6,97.7,0.12,746.9,North Central and Central Coast,2017,59.20259987317692
Binh Dinh,252.0,1529.0,96.1,0.0,893.7,North Central and Central Coast,2017,58.44996729888816
Phu Yen,180.0,904.4,101.0,0.22,514.4,North Central and Central Coast,2017,56.87748783724016
Khanh Hoa,238.0,1222.2,98.8,0.76,697.2,North Central and Central Coast,2017,57.0446735395189
Ninh Thuan,181.0,607.0,100.3,0.67,335.9,North Central and Central Coast,2017,55.337726523887966
Binh Thuan,106.0,5778.5,100.9,0.57,715.6,North Central and Central Coast,2017,12.38383663580514
Kon Tum,54.0,520.0,101.3,2.41,304.1,Highlands,2017,58.48076923076923
Gia Lai,93.0,1437.4,100.5,1.51,879.4,Highlands,2017,61.17990816752469
Dak Lak,146.0,1896.6,101.8,0.76,1084.9,Highlands,2017,57.20236212169145
Dak Nong,96.0,625.6,106.7,1.76,365.8,Highlands,2017,58.47186700767263
Lam Dong,133.0,1298.9,101.4,0.79,733.6,Highlands,2017,56.47855878050658
Binh Phuoc,141.0,968.9,102.0,1.03,593.4,South East,2017,61.24471049643926
Tay Ninh,279.0,1126.2,99.7,1.0,692.2,South East,2017,61.463328005682826
Binh Duong,769.0,2071.0,99.5,4.13,1492.1,South East,2017,72.04732013520038
Dong Nai,516.0,3027.3,100.2,1.81,1738.7,South East,2017,57.43401711095696
Ba Ria - Vung Tau,556.0,1101.6,100.6,0.86,606.6,South East,2017,55.06535947712419
Ho Chi Minh,4097.0,8444.6,94.5,2.01,4578.7,South East,2017,54.22044857068422
Long An,333.0,1496.8,99.3,1.04,996.3,Mekong Delta,2017,66.56199893105291
Tien Giang,698.0,1751.8,96.3,0.67,1102.3,Mekong Delta,2017,62.92384975453819
Ben Tre,529.0,1266.7,95.9,0.3,814.5,Mekong Delta,2017,64.30093944896187
Tra Vinh,443.0,1045.6,97.0,0.05,593.2,Mekong Delta,2017,56.73297628156083
Vinh Long,688.0,1050.2,97.1,-0.02,610.5,Mekong Delta,2017,58.13178442201485
Dong Thap,500.0,1690.3,99.8,-0.4,975.6,Mekong Delta,2017,57.71756492930249
An Giang,611.0,2161.7,98.6,-1.12,1096.2,Mekong Delta,2017,50.71008928158395
Kien Giang,282.0,1792.6,102.6,0.24,954.9,Mekong Delta,2017,53.26899475622001
Can Tho,885.0,1272.8,98.4,0.64,726.2,Mekong Delta,2017,57.05531112507857
Hau Giang,478.0,774.6,100.1,-0.38,455.8,Mekong Delta,2017,58.84327394784405
Soc Trang,397.0,1314.3,99.3,-0.75,674.4,Mekong Delta,2017,51.31248573385072
Bac Lieu,335.0,894.3,100.0,0.55,514.5,Mekong Delta,2017,57.531029855753104
Ca Mau,235.0,1226.3,102.3,-0.1,683.7,Mekong Delta,2017,55.75307836581588
Ha Noi,2239.0,7520.7,98.1,2.23,4064.8,Hong river Delta,2018,54.048160410600076
Vinh Phuc,884.0,1092.4,98.1,1.36,630.5,Hong river Delta,2018,57.71695349688758
Bac Ninh,1516.0,1247.5,96.8,3.05,751.6,Hong river Delta,2018,60.24849699398798
Quang Ninh,205.0,1266.5,103.6,1.46,734.7,Hong river Delta,2018,58.010264508487964
Hai Duong,1083.0,1807.5,98.5,1.46,1067.6,Hong river Delta,2018,59.06500691562931
Hai Phong,1289.0,2013.8,98.7,0.75,1138.2,Hong river Delta,2018,56.52001191776741
Hung Yen,1278.0,1188.9,99.8,1.1,717.9,Hong river Delta,2018,60.38354781731011
Thai Binh,1130.0,1793.2,94.7,0.43,1121.3,Hong river Delta,2018,62.53067142538479
Ha Nam,938.0,808.2,96.8,0.88,487.7,Hong river Delta,2018,60.343974263796085
Nam Dinh,1111.0,1854.4,95.9,-0.22,1044.6,Hong river Delta,2018,56.330888697152716
Ninh Binh,702.0,973.3,99.2,0.96,586.2,Hong river Delta,2018,60.2280900030823
Ha Giang,107.0,846.5,101.9,1.54,532.8,Midlands and northern mountains,2018,62.94152392203189
Cao Bang,81.0,540.4,100.2,0.43,351.9,Midlands and northern mountains,2018,65.11843079200592
Bac Kan,67.0,327.9,103.8,0.7,216.5,Midlands and northern mountains,2018,66.0262275083867
Tuyen Quang,133.0,780.1,101.3,1.02,480.6,Midlands and northern mountains,2018,61.607486219715426
Lao Cai,111.0,705.6,103.2,1.73,444.2,Midlands and northern mountains,2018,62.95351473922902
Yen Bai,118.0,815.6,101.1,0.9,519.6,Midlands and northern mountains,2018,63.70769985286906
Thai Nguyen,360.0,1268.3,95.9,1.39,767.2,Midlands and northern mountains,2018,60.49042024757551
Lang Son,95.0,790.5,104.1,0.93,493.9,Midlands and northern mountains,2018,62.47944339025933
Bac Giang,434.0,1691.8,100.5,2.34,1088.1,Midlands and northern mountains,2018,64.31611301572289
Phu Tho,397.0,1404.2,98.6,1.34,848.0,Midlands and northern mountains,2018,60.39025779803446
Dien Bien,60.0,576.7,102.5,1.92,341.4,Midlands and northern mountains,2018,59.19889023755851
Lai Chau,50.0,456.3,103.8,2.0,274.3,Midlands and northern mountains,2018,60.11396011396012
Son La,88.0,1242.7,102.6,1.62,758.6,Midlands and northern mountains,2018,61.044499879295074
Hoa Binh,184.0,846.1,99.8,0.65,553.0,Midlands and northern mountains,2018,65.35870464484104
Thanh Hoa,320.0,3558.2,99.4,0.77,2261.2,North Central and Central Coast,2018,63.54898544207745
Nghe An,192.0,3157.1,99.8,1.38,1909.6,North Central and Central Coast,2018,60.48588894871876
Ha Tinh,213.0,1277.5,98.8,0.49,707.0,North Central and Central Coast,2018,55.342465753424655
Quang Binh,111.0,887.6,100.6,0.61,527.7,North Central and Central Coast,2018,59.45245606128887
Quang Tri,136.0,630.6,98.2,0.7,346.4,North Central and Central Coast,2018,54.93181097367585
Thua Thien Hue,237.0,1163.6,97.9,0.19,615.0,North Central and Central Coast,2018,52.8532141629426
Da Nang,841.0,1080.7,97.2,1.51,601.4,North Central and Central Coast,2018,55.6491163135005
Quang Nam,142.0,1501.1,96.7,0.5,883.4,North Central and Central Coast,2018,58.85017653720605
Quang Ngai,247.0,1272.8,97.7,0.13,746.7,North Central and Central Coast,2018,58.6659333752357
Binh Dinh,253.0,1534.8,96.5,0.0,907.3,North Central and Central Coast,2018,59.11519416210581
Phu Yen,181.0,909.5,101.1,0.17,524.5,North Central and Central Coast,2018,57.6690489279824
Khanh Hoa,240.0,1232.4,98.9,0.67,702.2,North Central and Central Coast,2018,56.97825381369685
Ninh Thuan,182.0,611.8,100.4,0.6,337.5,North Central and Central Coast,2018,55.16508662961752
Binh Thuan,108.0,5871.0,100.9,0.56,723.8,North Central and Central Coast,2018,12.328393800034066
Kon Tum,55.0,535.0,101.2,2.37,307.6,Highlands,2018,57.49532710280374
Gia Lai,94.0,1458.5,100.5,1.82,890.0,Highlands,2018,61.02159753171066
Dak Lak,147.0,1919.2,101.7,0.61,1096.9,Highlands,2018,57.15402250937891
Dak Nong,99.0,645.4,106.5,1.74,367.4,Highlands,2018,56.92593740316083
Lam Dong,134.0,1312.9,101.4,0.79,748.8,Highlands,2018,57.03404676669967
Binh Phuoc,142.0,979.6,101.8,1.26,588.8,South East,2018,60.106165781951816
Tay Ninh,280.0,1133.4,99.8,0.83,676.9,South East,2018,59.722957473089814
Binh Duong,803.0,2163.6,100.4,5.3,1562.2,South East,2018,72.2037345165465
Dong Nai,526.0,3086.1,100.4,1.67,1765.1,South East,2018,57.19516541913742
Ba Ria - Vung Tau,562.0,1112.9,100.7,0.98,610.1,South East,2018,54.82073861083655
Ho Chi Minh,4171.0,8598.7,94.8,2.24,4684.9,South East,2018,54.48381732122297
Long An,334.0,1503.1,99.4,1.0,1006.7,Mekong Delta,2018,66.97491850176303
Tien Giang,702.0,1762.3,96.3,0.41,1125.8,Mekong Delta,2018,63.88242637462407
Ben Tre,530.0,1268.2,95.9,0.27,814.5,Mekong Delta,2018,64.22488566472165
Tra Vinh,445.0,1049.8,97.0,0.07,588.1,Mekong Delta,2018,56.020194322728145
Vinh Long,689.0,1051.8,97.1,0.01,607.9,Mekong Delta,2018,57.79615896558281
Dong Thap,500.0,1693.3,99.8,-0.4,1055.7,Mekong Delta,2018,62.3457154668399
An Giang,612.0,2164.2,98.6,-1.18,1078.7,Mekong Delta,2018,49.84289806857038
Kien Giang,285.0,1810.5,102.7,0.31,946.2,Mekong Delta,2018,52.26180613090307
Can Tho,891.0,1282.3,98.4,0.44,731.0,Mekong Delta,2018,57.00694065351322
Hau Giang,479.0,776.7,100.0,-0.32,450.7,Mekong Delta,2018,58.02755246555942
Soc Trang,397.0,1315.9,99.3,-0.78,670.1,Mekong Delta,2018,50.923322440914966
Bac Lieu,336.0,897.0,100.1,0.58,516.7,Mekong Delta,2018,57.603121516165004
Ca Mau,236.0,1229.6,102.5,-0.12,688.3,Mekong Delta,2018,55.9775536759922
Ha Noi,2410.0,8093.9,98.32,2.27,4118.3,Hong river Delta,2019,50.881528064344764
Vinh Phuc,934.0,1154.8,99.32,1.45,647.4,Hong river Delta,2019,56.06165569795636
Bac Ninh,1676.0,1378.6,97.62,3.08,777.7,Hong river Delta,2019,56.41230233570289
Quang Ninh,214.0,1324.8,103.48,1.61,734.5,Hong river Delta,2019,55.44233091787439
Hai Duong,1137.0,1896.9,98.8,1.02,1070.8,Hong river Delta,2019,56.4499973641204
Hai Phong,1302.0,2033.3,98.74,0.83,1111.1,Hong river Delta,2019,54.645158117346185
Hung Yen,1350.0,1255.8,100.25,1.08,726.8,Hong river Delta,2019,57.87545787545787
Thai Binh,1174.0,1862.2,94.84,0.43,1133.1,Hong river Delta,2019,60.84738481366125
Ha Nam,991.0,854.5,96.97,0.87,486.9,Hong river Delta,2019,56.98069046225863
Nam Dinh,1067.0,1780.9,96.05,-0.19,1050.1,Hong river Delta,2019,58.964568476612946
Ninh Binh,710.0,984.5,99.24,1.01,581.5,Hong river Delta,2019,59.0655154900965
Ha Giang,108.0,858.1,102.14,1.37,533.0,Midlands and northern mountains,2019,62.113972730450996
Cao Bang,79.0,530.9,100.39,0.42,348.9,Midlands and northern mountains,2019,65.71859107176493
Bac Kan,65.0,314.4,104.07,0.74,211.0,Midlands and northern mountains,2019,67.1119592875318
Tuyen Quang,134.0,786.3,101.43,1.02,489.8,Midlands and northern mountains,2019,62.291746152867866
Lao Cai,115.0,733.3,103.45,1.74,435.5,Midlands and northern mountains,2019,59.3890631392336
Yen Bai,119.0,823.0,101.25,1.04,520.4,Midlands and northern mountains,2019,63.23207776427703
Thai Nguyen,366.0,1290.9,95.64,1.37,777.2,Midlands and northern mountains,2019,60.20605778913936
Lang Son,94.0,782.8,104.49,0.9,500.0,Midlands and northern mountains,2019,63.873275421563626
Bac Giang,465.0,1810.4,100.77,1.85,1107.9,Midlands and northern mountains,2019,61.196420680512595
Phu Tho,415.0,1466.4,98.95,1.16,850.5,Midlands and northern mountains,2019,57.99918166939443
Dien Bien,63.0,601.7,102.82,1.89,351.4,Midlands and northern mountains,2019,58.40119660960611
Lai Chau,51.0,462.6,103.83,2.04,283.4,Midlands and northern mountains,2019,61.26242974492001
Son La,89.0,1252.7,102.8,1.59,771.0,Midlands and northern mountains,2019,61.54705835395545
Hoa Binh,186.0,855.8,99.97,0.63,556.2,Midlands and northern mountains,2019,64.99182051881282
Thanh Hoa,328.0,3645.8,99.6,0.4,2295.0,North Central and Central Coast,2019,62.949146963629374
Nghe An,202.0,3337.2,100.11,1.39,1926.1,North Central and Central Coast,2019,57.71604938271605
Ha Tinh,215.0,1290.3,98.88,0.76,707.2,North Central and Central Coast,2019,54.80895915678525
Quang Binh,112.0,896.6,100.72,0.61,516.1,North Central and Central Coast,2019,57.5619005130493
Quang Tri,137.0,633.4,98.33,0.59,350.6,North Central and Central Coast,2019,55.352068203347024
Thua Thien Hue,230.0,1129.5,97.96,0.36,621.0,North Central and Central Coast,2019,54.980079681274894
Da Nang,888.0,1141.1,97.19,2.4,606.7,North Central and Central Coast,2019,53.16799579353256
Quang Nam,142.0,1497.5,96.8,0.45,896.2,North Central and Central Coast,2019,59.84641068447413
Quang Ngai,239.0,1231.9,97.75,0.11,739.2,North Central and Central Coast,2019,60.004870525204964
Binh Dinh,245.0,1487.8,97.03,0.0,891.2,North Central and Central Coast,2019,59.90052426401399
Phu Yen,174.0,873.2,101.22,0.19,521.1,North Central and Central Coast,2019,59.677049931287215
Khanh Hoa,240.0,1232.8,99.05,0.68,695.2,North Central and Central Coast,2019,56.391953277092796
Ninh Thuan,176.0,591.0,100.57,0.37,338.1,North Central and Central Coast,2019,57.208121827411176
Binh Thuan,108.0,5861.3,100.99,0.41,726.8,North Central and Central Coast,2019,12.39997952672615
Kon Tum,56.0,543.4,101.0,2.08,316.1,Highlands,2019,58.17077659182923
Gia Lai,98.0,1520.2,100.43,1.64,908.1,Highlands,2019,59.73556111038021
Dak Lak,144.0,1872.6,101.7,0.59,1117.6,Highlands,2019,59.681725942539785
Dak Nong,96.0,625.8,106.34,1.69,374.1,Highlands,2019,59.779482262703745
Lam Dong,133.0,1299.3,101.44,0.61,770.1,Highlands,2019,59.27037635649965
Binh Phuoc,145.0,997.8,101.65,1.31,603.8,South East,2019,60.5131288835438
Tay Ninh,290.0,1171.7,99.88,0.95,707.0,South East,2019,60.33967739182384
Binh Duong,912.0,2456.3,101.36,4.74,1647.6,South East,2019,67.07649717054105
Dong Nai,531.0,3113.7,100.68,1.92,1765.9,South East,2019,56.71387738060829
Ba Ria - Vung Tau,582.0,1152.2,100.74,1.22,624.1,South East,2019,54.16594341260198
Ho Chi Minh,4385.0,9038.6,95.07,2.21,4826.0,South East,2019,53.39322461443143
Long An,377.0,1695.1,99.52,0.97,1056.8,Mekong Delta,2019,62.344404459913875
Tien Giang,704.0,1766.3,96.38,0.41,1123.5,Mekong Delta,2019,63.60754118779369
Ben Tre,538.0,1289.1,95.81,0.24,828.8,Mekong Delta,2019,64.29291753936856
Tra Vinh,428.0,1009.3,96.98,0.05,578.7,Mekong Delta,2019,57.336768057069264
Vinh Long,670.0,1022.6,97.1,-0.01,622.4,Mekong Delta,2019,60.86446313318991
Dong Thap,472.0,1598.8,99.87,-0.46,929.4,Mekong Delta,2019,58.131098323742805
An Giang,539.0,1907.4,98.62,-1.22,1002.5,Mekong Delta,2019,52.558456537695285
Kien Giang,272.0,1723.7,102.8,0.32,952.6,Mekong Delta,2019,55.26483726866624
Can Tho,859.0,1236.0,98.39,0.67,720.2,Mekong Delta,2019,58.26860841423949
Hau Giang,451.0,732.2,99.81,-0.37,420.3,Mekong Delta,2019,57.40234908494946
Soc Trang,362.0,1199.5,99.38,-0.77,657.9,Mekong Delta,2019,54.847853272196744
Bac Lieu,340.0,908.2,100.19,0.58,518.1,Mekong Delta,2019,57.046905967848495
Ca Mau,229.0,1194.3,102.63,-0.11,690.9,Mekong Delta,2019,57.849786485807584
Ha Noi,2455.0,8246.6,98.09,1.89,4124.62,Hong river Delta,2020,50.016006596658016
Vinh Phuc,948.0,1171.2,99.35,1.42,634.47,Hong river Delta,2020,54.17264344262295
Bac Ninh,1725.0,1419.1,97.07,2.94,774.57,Hong river Delta,2020,54.581777182721446
Quang Ninh,217.0,1337.6,103.46,0.96,693.57,Hong river Delta,2020,51.851824162679435
Hai Duong,1149.0,1916.8,99.6,1.05,1015.05,Hong river Delta,2020,52.95544657762938
Hai Phong,1315.0,2053.5,97.86,1.0,1077.77,Hong river Delta,2020,52.4845385926467
Hung Yen,1364.0,1269.1,100.58,1.06,722.01,Hong river Delta,2020,56.89149791190607
