Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Ho Chi Minh,3578.2,7498.4,91.1,2.07,4000.9,South East,2011,53.35671609943455
Long An,322.7,1449.9,98.7,0.49,841.7,Mekong Delta,2011,58.05227946754948
Tien Giang,670.8,1682.6,97.2,0.27,987.7,Mekong Delta,2011,58.70082015927731
Ben Tre,532.7,1257.4,96.3,0.06,777.1,Mekong Delta,2011,61.802131382217276
Tra Vinh,432.7,1013.1,97.1,0.5,616.6,Mekong Delta,2011,60.86269864771493
Vinh Long,687.5,1029.1,97.1,0.25,622.8,Mekong Delta,2011,60.51890000971723
Dong Thap,495.0,1671.7,99.3,0.12,994.4,Mekong Delta,2011,59.48435724113178
An Giang,607.6,2149.0,98.9,0.03,1300.4,Mekong Delta,2011,60.51186598417869
Kien Giang,269.5,1710.9,101.1,0.72,1008.6,Mekong Delta,2011,58.95142907241803
Can Tho,857.3,1208.0,98.8,0.84,690.7,Mekong Delta,2011,57.1771523178808
Hau Giang,475.3,761.7,101.6,0.25,456.0,Mekong Delta,2011,59.86608901142182
Soc Trang,392.1,1298.4,98.8,0.21,744.1,Mekong Delta,2011,57.30899568699939
Bac Lieu,350.3,864.9,99.0,0.46,514.0,Mekong Delta,2011,59.428835703549545
Ca Mau,228.5,1210.0,101.0,0.13,684.3,Mekong Delta,2011,56.55371900826446
Ha Noi,2065.6,6865.2,95.4,1.54,3702.5,Hong river Delta,2012,53.93142224552817
Vinh Phuc,826.8,1022.4,97.6,1.09,607.2,Hong river Delta,2012,59.38967136150235
Bac Ninh,1319.8,1085.8,96.8,2.1,625.3,Hong river Delta,2012,57.58887456253453
Quang Ninh,193.0,1177.7,103.4,0.83,691.9,Hong river Delta,2012,58.75010613908466
Hai Duong,1051.8,1741.7,96.1,0.69,1060.6,Hong river Delta,2012,60.89452833438593
Hai Phong,1249.5,1904.1,98.6,1.29,1089.0,Hong river Delta,2012,57.19237435008666
Hung Yen,1235.5,1144.1,97.5,0.5,702.0,Hong river Delta,2012,61.35827287824491
Thai Binh,1138.5,1787.4,93.8,0.08,1113.1,Hong river Delta,2012,62.274812576927374
Ha Nam,920.6,792.2,96.1,0.68,469.2,Hong river Delta,2012,59.227467811158796
Nam Dinh,1110.4,1835.1,95.8,0.09,1112.1,Hong river Delta,2012,60.60160209252901
Ninh Binh,667.6,919.1,99.3,1.26,553.4,Hong river Delta,2012,60.211076052660204
Ha Giang,96.2,761.6,99.9,2.01,463.4,Midlands and northern mountains,2012,60.845588235294116
Cao Bang,76.8,515.2,98.1,0.23,343.8,Midlands and northern mountains,2012,66.73136645962732
Bac Kan,62.4,303.0,102.4,0.86,204.8,Midlands and northern mountains,2012,67.59075907590758
Tuyen Quang,126.3,740.8,100.1,0.8,467.0,Midlands and northern mountains,2012,63.03995680345573
Lao Cai,101.3,646.5,101.3,1.5,396.7,Midlands and northern mountains,2012,61.36117556071152
Yen Bai,111.2,765.7,99.3,0.93,479.6,Midlands and northern mountains,2012,62.63549693091289
Thai Nguyen,325.1,1149.1,97.2,0.85,716.5,Midlands and northern mountains,2012,62.35314594030111
Lang Son,89.6,745.3,99.8,0.6,488.1,Midlands and northern mountains,2012,65.49040654769892
Bac Giang,413.9,1592.9,98.4,0.7,999.1,Midlands and northern mountains,2012,62.72207922656789
Phu Tho,379.5,1340.8,97.3,0.86,855.1,Midlands and northern mountains,2012,63.775357995226734
Dien Bien,54.3,519.7,100.2,1.74,306.4,Midlands and northern mountains,2012,58.957090629209155
Lai Chau,43.8,397.3,104.9,2.03,238.2,Midlands and northern mountains,2012,59.95469418575383
Son La,80.0,1134.4,101.0,1.41,710.9,Midlands and northern mountains,2012,62.667489421720724
Hoa Binh,174.7,805.2,98.2,0.77,539.6,Midlands and northern mountains,2012,67.01440635866865
Thanh Hoa,310.6,3457.9,97.6,0.59,2138.1,North Central and Central Coast,2012,61.83232597819486
Nghe An,180.9,2983.3,98.4,0.92,1826.3,North Central and Central Coast,2012,61.21744377032145
Ha Tinh,207.3,1243.2,97.7,0.44,706.4,North Central and Central Coast,2012,56.82110682110682
Quang Binh,106.4,858.3,100.1,0.57,513.8,North Central and Central Coast,2012,59.86251893277409
Quang Tri,128.3,608.2,98.1,0.57,332.4,North Central and Central Coast,2012,54.653074646497856
Thua Thien Hue,221.3,1113.9,97.8,0.98,614.8,North Central and Central Coast,2012,55.193464404345086
Da Nang,751.8,966.3,97.3,2.14,508.8,North Central and Central Coast,2012,52.65445513815585
Quang Nam,139.2,1452.9,95.7,0.71,838.7,North Central and Central Coast,2012,57.725927455433954
Quang Ngai,238.7,1229.8,97.3,0.37,725.7,North Central and Central Coast,2012,59.00959505610669
Binh Dinh,248.3,1502.4,95.1,0.28,893.9,North Central and Central Coast,2012,59.49813631522897
Phu Yen,173.1,876.1,100.2,0.7,540.5,North Central and Central Coast,2012,61.69387056272115
Khanh Hoa,226.2,1180.1,97.7,0.75,650.7,North Central and Central Coast,2012,55.139394966528265
Ninh Thuan,172.5,579.4,101.6,0.91,318.1,North Central and Central Coast,2012,54.90162236796687
Binh Thuan,152.5,1191.6,101.1,0.6,701.1,North Central and Central Coast,2012,58.836858006042306
Kon Tum,47.8,462.7,113.5,2.46,265.0,Highlands,2012,57.27253079749298
Gia Lai,86.3,1340.5,104.3,1.42,797.3,Highlands,2012,59.47780678851174
Dak Lak,136.5,1791.4,101.8,1.18,1033.1,Highlands,2012,57.669978787540465
Dak Nong,82.4,536.7,114.1,3.3,320.7,Highlands,2012,59.75405254332028
